"Keys","EN","DE","FR","DA","ZH","ES","RU","VI","JA","NO","KO","TE","HI","AR"
"Angle between the orbital plane and a reference plane","Angle between the orbital plane and a reference plane","Winkel zwischen der Bahnebene und einer Referenzebene","L'angle entre le plan orbital et un plan de référence","Vinkel mellem baneplan og en referenceplanet","轨道平面和基准平面之间的夹角","Ángulo entre el plano orbital y un plano de referencia","Угол между плоскостью орбиты и плоскостью отсчета","Góc giữa mặt phẳng quỹ đạo và một mặt phẳng tham chiếu","軌道面と基準面とのなす角度","Vinkelen mellom baneplanet og en referanseplan","궤도면과 기준면 사이의 각도","కక్ష్య విమానం మరియు ఒక సూచన విమానం మధ్య కోణం","कक्षीय तल और एक संदर्भ विमान के बीच के कोण","زاوية بين الطائرة المدارية وطائرة مرجعية"
"Argument of Periapsis","Argument of Periapsis","Argument der Periapsis","Argument du périastre","Periapsisargument","拱点的参数","Argumento de Periapsis","Аргумент Перицентра","Acgumen của cận điểm","近点引数","Perihelargument","Periapsis의 인수","Periapsis వాదన","Periapsis के तर्क","حجة periapsis إحتفظا"
"Describes the orientation of the orbital plane - where the closest approach point is","Describes the orientation of the orbital plane - where the closest approach point is","Beschreibt die Ausrichtung der Bahnebene - wo die größten Annäherung Punkt ist","Décrit l'orientation du plan orbital - où le point d'approche le plus proche est","Beskriver retningen af baneplan - hvor det nærmeste tilgang punkt er","介绍了轨道平面的方向 - 在最接近点","Describe la orientación del plano de la órbita - donde el punto de máxima aproximación es","Описывает ориентацию плоскости орбиты - где ближайшая точка подхода является","Mô tả các định hướng của mặt phẳng quỹ đạo - nơi điểm tiếp cận gần nhất là","最接近点である - 軌道面の向きを記述する","Beskriver retningen på baneplan - hvor nærmeste tilnærming poenget er","가장 가까운 접근 지점입니다 - 궤도면의 방향을 설명합니다","దగ్గరగా సమీపించిన స్థానం పేరు - కక్ష్య విమానం విన్యాసాన్ని వివరిస్తుంది","जहां निकटतम दृष्टिकोण है - कक्षीय तल के उन्मुखीकरण का वर्णन करता है","يصف اتجاه الطائرة المدارية - حيث أقرب نقطة النهج"
"Right Ascension of the Ascending Node","Right Ascension of the Ascending Node","Rektaszension des aufsteigenden Knoten","Ascension droite du nœud ascendant","Rektascension af Stigende Node","升交点赤经","Ascensión recta del nodo ascendente","Прямое восхождение восходящего узла","Ascension bên phải của Node Tăng dần","昇順ノードの右昇天","Høyre Ascension av stigende Node","오름차순 노드의 적경","ఆరోహణ నోడ్ యొక్క కుడి అసెన్షన్","आरोही नोड के दक्षिणी चढ़ाव","الصعود الأيمن من عقدة الصعود"
"Where the orbit passes upward through the reference frame","Where the orbit passes upward through the reference frame","Wo die Bahn geht nach oben durch den Referenzrahmen","Où l'orbite passe vers le haut à travers le cadre de référence","Hvor bane passerer opad gennem referenceramme","其中轨道通过参考帧向上穿过","Cuando la órbita pasa hacia arriba a través de la trama de referencia","Там, где орбита проходит вверх через отсчет","Trường hợp quỹ đạo đi lên trên qua hệ quy chiếu","軌道は、基準フレームを通って上方に通過する場合","Hvor banen passerer oppover gjennom referanserammen","궤도는 기준 프레임을 통해 상향으로 통과 어디에","కక్ష్య సూచక చట్రం ద్వారా పైకి వెళుతుంది ఎక్కడ","कहाँ कक्षा संदर्भ फ्रेम के माध्यम से ऊपर की ओर गुजरता","حيث يمر مدار أعلى من خلال الإطار المرجعي"
"Mean Anomaly","Mean Anomaly","Mittlere Anomaly","Anomalie moyenne","Mean Anomaly","平均异常","anomalía media","Среднее аномалию","có nghĩa là bất thường","異常を意味します","midlere anomali","비정상 평균","మీన్ అసాధారణ","मतलब विसंगति","يعني الشذوذ"
"Where in the orbit the body currently is","Where in the orbit the body currently is","Wo in der Umlaufbahn der Körper Zeit sind","Lorsque, dans l'orbite du corps est actuellement","Hvor i kredsløb kroppen øjeblikket","凡在轨道体目前","Cuando en la órbita del cuerpo es actualmente","Где в орбите тело в настоящее время является","Trong trường hợp trong quỹ đạo cơ thể hiện là","どこ軌道に体が現在であります","Hvor i bane kroppen i dag er","어디 궤도에 몸이 현재","ఎక్కడ కక్ష్యలో విభాగానికి ప్రస్తుతం ఉంది","कहाँ की कक्षा में संघ के फिलहाल है","حيث في المدار الجسم حاليا"
"Orbital Period","Orbital Period","Umlaufzeit","période orbitale","omløbstid","轨道周期","Periodo orbital","Орбитальный период","Chu kỳ quỹ đạo","公転周期","omløpstid","공전주기","కక్ష్య వ్యవధి","कक्षीय काल","المداري"
"Amount of time it takes for the body to orbit its parent","Amount of time it takes for the body to orbit its parent","Menge an Zeit, die für den Körper zu seinem übergeordneten umkreisen","Montant de temps qu'il faut pour le corps en orbite autour de son parent","Den tid, det tager for kroppen at kredse dets moderselskab","的时间花费身体轨道其父","Cantidad de tiempo que tarda el cuerpo en orbitar su matriz","Количество времени, которое требуется для тела на орбиту своего родителя","Lượng thời gian cần thiết cho cơ thể để quay quanh mẹ","それはその親を周回して、本体のにかかる時間","Hvor lang tid det tar for kroppen å bane sin moder","시간의 금액은 부모 궤도 신체 소요","సమయం మొత్తం దాని మాతృ కక్ష్యలో శరీరం పట్టే","समय की राशि यह शरीर अपनी मूल कक्षा के लिए के लिए ले जाता है","مقدار الوقت الذي يستغرقه للجسم للدوران الأم"
"Periapsis Distance","Periapsis Distance","Periapsis Entfernung","périastre Distance","periapsis Afstand","拱点距离","periapsis Distancia","Перицентр Расстояние","Periapsis cách","近点距離","Periapsis Avstand","Periapsis 거리","Periapsis దూరం","Periapsis दूरी","periapsis إحتفظا القطر"
"Distance of closest approach","Distance of closest approach","Distanz der nächsten Annäherung","Distance du plus proche","Afstand af nærmeste tilgang","最接近的距离","Distancia de máxima aproximación","Расстояние от ближайшего подхода","Khoảng cách tiếp xúc gần nhất","最接近の距離","Avstand fra nærmeste tilnærming","가장 가까운 접근 거리","దగ్గరగా సమీపించిన దూరం","निकटतम दृष्टिकोण के दूरी","المسافة من أقرب نقطة"
"Apoapsis Distance","Apoapsis Distance","Apoapsis Entfernung","apoapsis Distance","Apoapsis Afstand","远拱点距离","apoapsis Distancia","Апоцентр Расстояние","Apoapsis cách","Apoapsis距離","Apoapsis Avstand","Apoapsis 거리","Apoapsis దూరం","Apoapsis दूरी","Apoapsis القطر"
"Distance of furthest approach","Distance of furthest approach","Entfernung des am weitesten Ansatz","Distance d'approche le plus","Afstand af længst tilgang","最远的做法距离","Distancia de enfoque más lejano","Расстояние дальнего подхода","Khoảng cách xa nhất cách tiếp cận","遠いアプローチの距離","Avstand fra lengst tilnærming","먼 접근의 거리","అవతలి విధానం దూరం","दूर का दृष्टिकोण की दूरी","مسافة أبعد نهج"
